bookid,title,image_url,authors,subjects,isbn,publisher,ratings,rating_count
1,Introduction to algorithms,https://images-na.ssl-images-amazon.com/images/P/8120321413.01.TZZZZZZZ.jpg,"Cormen, Thomas H | Leiserson, Charles E | Rivest, Ronald L",Computer programming | Computer algorithms | Data structures | Computer science,9.78812E+12,New Delhi : PHI Learning,0,0
2,Data structures and algorithms,https://images-na.ssl-images-amazon.com/images/P/8177588265.01.TZZZZZZZ.jpg,"Aho, Alfred V | Hopcroft, John E | Ullman, Jeffrey D",Data structures (Computer science) | Computer algorithms,9.78818E+12,New Delhi : Pearson,0,0
3,Introduction to parallel computing,https://images-na.ssl-images-amazon.com/images/P/8131708071.01.TZZZZZZZ.jpg,"Grama, Ananth",Parallel processing (Electronic computers) | Parallel algorithms,9.78813E+12,New Delhi : Pearson Education,0,0
4,Design patterns : elements of reusable object-oriented software,https://images-na.ssl-images-amazon.com/images/P/9332555400.01.TZZZZZZZ.jpg,"Gamma, Erich | Helm, Richard | Johnson, Ralph | Vlissides, John",Object-oriented programming (Computer science) | Computer software -- Reusability | Software patterns,9.78933E+12,New Delhi. : Pearson,0,0
5,Programming languages : concepts and constructs,https://images-na.ssl-images-amazon.com/images/P/0201590654.01.TZZZZZZZ.jpg,"Sethi, Ravi",Programming languages (Electronic computers),9.7802E+12,Reading Mass. : Addison-Wesley,0,0
6,Principles of model checking,https://images-na.ssl-images-amazon.com/images/P/026202649X.01.TZZZZZZZ.jpg,"Baier, Christel | Katoen, Joost-Pieter",Computer systems -- Verification | Computer software -- Verification,9.78026E+12,Cambridge : MIT Press,0,0
7,Model checking,https://images-na.ssl-images-amazon.com/images/P/0262032708.01.TZZZZZZZ.jpg,"Clarke, E. M | Grumberg, Orna | Peled, Doron",Computer systems -- Verification,262032708,Cambridge : MIT Press,0,0
8,Pattern classification,https://images-na.ssl-images-amazon.com/images/P/8126511168.01.TZZZZZZZ.jpg,"Duda, Richard O | Hart, Peter E | Stork, David G",Pattern recognition systems | Statistical decision,9.78813E+12,New Delhi : Wiley,0,0
9,Neural networks : a comprehensive foundation,https://images-na.ssl-images-amazon.com/images/P/8177588524.01.TZZZZZZZ.jpg,"Haykin, Simon S",Neural networks (Computer science),9.78818E+12,Upper Saddle River N.J. : Prentice Hall,0,0
10,Artificial intelligence : a modern approach,https://images-na.ssl-images-amazon.com/images/P/8177583670.01.TZZZZZZZ.jpg,"Russell, Stuart J. (Stuart Jonathan) | Norvig, Peter",Artificial intelligence,9.78818E+12,New Delhi : Pearson,0,0
11,"Cyber forensics : a field manual for collecting, examining, and preserving evidence of computer crimes  ",https://images-na.ssl-images-amazon.com/images/P/0849383285.01.TZZZZZZZ.jpg,"Marcella, Albert J | Menendez, Doug","Computer crimes -- Investigation -- Handbooks, manuals, etc",9.78085E+12,New York : Auerbach Publications,0,0
12,The age of spiritual machines : when computers exceed human intelligence,https://images-na.ssl-images-amazon.com/images/P/0140282025.01.TZZZZZZZ.jpg,"Kurzweil, Ray",Artificial intelligence | Computers,9.78014E+12,New York : Viking,0,0
13,Handbook of biometrics,https://images-na.ssl-images-amazon.com/images/P/038771040X.01.TZZZZZZZ.jpg,"Jain, Anil K | Flynn, Patrick | Ross, Arun A",Biometric identification | Pattern recognition systems | Identification -- Automation,9.78039E+12,New York : Springer,0,0
14,"Reliable face recognition methods : system design, implementation and evaluation  ",https://images-na.ssl-images-amazon.com/images/P/038722372X.01.TZZZZZZZ.jpg,"Wechsler, Harry",Human face recognition (Computer science) | Biometric identification,9.78039E+12,New York : Springer,0,0
15,Handbook of face recognition,https://images-na.ssl-images-amazon.com/images/P/038740595X.01.TZZZZZZZ.jpg,"Li, S. Z | Jain, Anil K",Human face recognition (Computer science),9.78039E+12,New York : Springer,0,0
16,Handbook of multibiometrics,https://images-na.ssl-images-amazon.com/images/P/0387222960.01.TZZZZZZZ.jpg,"Ross, Arun A | Nandakumar, Karthik | Jain, Anil K",Biometric identification,9.78039E+12,New York: Springer,0,0
